id,symbol,name
hashnote-usyc,usyc,Circle USYC
usdb,usdb,USDB
axie-infinity,axs,Axie Infinity
sweth,sweth,Swell Ethereum
ether-fi-staked-eth,eeth,ether.fi Staked ETH
mantle-bridged-usdt-mantle,usdt,Mantle Bridged USDT (Mantle)
zksync,zk,ZKsync
chiliz,chz,Chiliz
eos,eos,EOS
movement,move,Movement
wormhole,w,Wormhole
akash-network,akt,Akash Network
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS)
polygon-pos-bridged-dai-polygon-pos,dai,Polygon PoS Bridged DAI (Polygon POS)
kaito,kaito,KAITO
popcat,popcat,Popcat
frax-ether,frxeth,Frax Ether
polygon-bridged-wbtc-polygon-pos,wbtc,Polygon Bridged WBTC (Polygon POS)
just,jst,JUST
superfarm,super,SuperVerse
sun-token,sun,Sun Token
global-dollar,usdg,Global Dollar
axelar,axl,Axelar
beam-2,beam,Beam
bybit-staked-sol,bbsol,Bybit Staked SOL
terra-luna,lunc,Terra Luna Classic
trip,trip,Trip
ronin,ron,Ronin
olympus,ohm,Olympus
treehouse-eth,teth,Treehouse ETH
gnosis,gno,Gnosis
matic-network,matic,Polygon
creditcoin-2,ctc,Creditcoin
benqi-liquid-staked-avax,savax,BENQI Liquid Staked AVAX
useless-3,useless,Useless Coin
convex-finance,cvx,Convex Finance
grass,grass,Grass
keeta,kta,Keeta
amp-token,amp,Amp
trust-wallet-token,twt,Trust Wallet
aethir,ath,Aethir
frax,frax,Legacy Frax Dollar
binance-peg-busd,busd,Binance-Peg BUSD
gho,gho,GHO
wrapped-avax,wavax,Wrapped AVAX
zebec-network,zbcn,Zebec Network
abtc,abtc,aBTC
safe,safe,Safe
openeden-open-dollar,usdo,OpenEden OpenDollar
compound-wrapped-btc,cwbtc,cWBTC
reserve-protocol-eth-plus,eth+,ETHPlus
compounding-open-dollar,cusdo,Compounding OpenDollar
decred,dcr,Decred
livepeer,lpt,Livepeer
pumpbtc,pumpbtc,pumpBTC
ket,ket,Ket
mocaverse,moca,Moca Network
universal-btc,unibtc,Universal BTC
eutbl,eutbl,Spiko EU T-Bills Money Market Fund
cat-in-a-dogs-world,mew,cat in a dogs world
staked-frax-ether,sfrxeth,Staked Frax Ether
cheems-token,cheems,Cheems Token
wemix-token,wemix,WEMIX
dash,dash,Dash
peanut-the-squirrel,pnut,Peanut the Squirrel
plume,plume,Plume
euler,eul,Euler
drift-staked-sol,dsol,Drift Staked SOL
btse-token,btse,BTSE Token
resolv-usr,usr,Resolv USR
theta-fuel,tfuel,Theta Fuel
golem,glm,Golem
safepal,sfp,SafePal
berachain-bera,bera,Berachain
mina-protocol,mina,Mina Protocol
kusama,ksm,Kusama
zilliqa,zil,Zilliqa
qtum,qtum,Qtum
layerzero,zro,LayerZero
snek,snek,Snek
arkham,arkm,Arkham
toshi,toshi,Toshi
wrapped-ether-mantle-bridge,weth,Wrapped Ether (Mantle Bridge)
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH
baby-doge-coin,babydoge,Baby Doge Coin
basic-attention-token,bat,Basic Attention
funfair,fun,FUNToken
mantra-dao,om,MANTRA
0x,zrx,0x Protocol
havven,snx,Synthetix Network
ravencoin,rvn,Ravencoin
notcoin,not,Notcoin
blockchain-capital,bcap,Blockchain Capital
mx-token,mx,MX
euro-coin,eurc,EURC
blur,blur,Blur
gas,gas,Gas
astherus-staked-bnb,asbnb,Aster Staked BNB
oasis-network,rose,Oasis
iotex,iotx,IoTeX
astar,astr,Astar
frax-share,frax,Frax (prev. FXS)
swissborg,borg,SwissBorg
tribe-2,tribe,Tribe
neiro-3,neiro,Neiro
zetachain,zeta,ZetaChain
ai16z,ai16z,ai16z
nervos-network,ckb,Nervos Network
usda-2,usda,USDa
ordinals,ordi,ORDI
instadapp,fluid,Fluid
agentfun-ai,agentfun,AgentFun.AI
vethor-token,vtho,VeThor
legacy-token,lgct,Legacy Token
tradable-na-rent-financing-platform-sstn,pc0000031,Tradable NA Rent Financing Platform SSTN
celo,celo,Celo
origin-ether,oeth,Origin Ether
yearn-finance,yfi,yearn.finance
moo-deng,moodeng,Moo Deng
siacoin,sc,Siacoin
qubic-network,qubic,Qubic
cow-protocol,cow,CoW Protocol
gigachad-2,giga,Gigachad
binance-peg-sol,sol,Binance-Peg SOL
rekt-4,rekt,Rekt
polymesh,polyx,Polymesh
infrared-bera,ibera,Infrared Bera
gmt-token,gomining,GoMining Token
harmony,one,Harmony
threshold-network-token,t,Threshold Network
holotoken,hot,Holo
resolv-wstusr,wstusr,Resolv wstUSR
origintrail,trac,OriginTrail
steakhouse-usdc-morpho-vault,steakusdc,Steakhouse USDC Morpho Vault
verus-coin,vrsc,Verus
mimbogamegroup,mgg,MimboGameGroup
ankr,ankr,Ankr Network
stargate-finance,stg,Stargate Finance
ethereum-pow-iou,ethw,EthereumPoW
kadena,kda,Kadena
solo-coin,solo,Sologenic
aelf,elf,aelf
bnb48-club-token,koge,KOGE
nxm,nxm,Nexus Mutual
elixir-deusd,deusd,Elixir deUSD
xyo-network,xyo,XYO Network
drift-protocol,drift,Drift Protocol
coinex-token,cet,CoinEx
sui-bridged-wbtc-sui,wbtc,Sui Bridged WBTC (Sui)
ignition-fbtc,fbtc,Function ƒBTC
woo-network,woo,WOO
orca,orca,Orca
agora-dollar,ausd,AUSD
mag7-ssi,mag7.ssi,MAG7.ssi
freysa-ai,fai,Freysa AI
compound-ether,ceth,cETH
non-playable-coin,npc,Non-Playable Coin
kinesis-gold,kau,Kinesis Gold
ben-pasternak,launchcoin,Launch Coin on Believe
cronos-bridged-usdc-cronos,usdc,Cronos Bridged USDC (Cronos)
vana,vana,Vana
zano,zano,Zano
casper-network,cspr,Casper Network
uxlink,uxlink,UXLINK
conscious-token,conscious,Conscious Token
digibyte,dgb,DigiByte
chia,xch,Chia
resolv-rlp,rlp,Resolv RLP
kinesis-silver,kag,Kinesis Silver
stepn,gmt,GMT
aixbt,aixbt,aixbt by Virtuals
stasis-eurs,eurs,STASIS EURO
sahara-ai,sahara,Sahara AI
enjincoin,enj,Enjin Coin
icon,icx,ICON
solayer,layer,Solayer
swftcoin,swftc,SWFTCOIN
kamino,kmno,Kamino
zignaly,zig,ZIGChain
bitkub-coin,kub,KUB Coin
unit-00-rei,rei,Rei
sushi,sushi,Sushi
metal-blockchain,metal,Metal Blockchain
aura-on-sol,aura,aura
chex-token,chex,Chintai
io,io,io.net
prometeus,prom,Prom
mask-network,mask,Mask Network
echelon-prime,prime,Echelon Prime
zencash,zen,Horizen
ontology,ont,Ontology
world-mobile-token,wmtx,World Mobile Token
osmosis,osmo,Osmosis
swipe,sxp,Solar
vaultbridge-bridged-usdc-katana,vbusdc,VaultBridge Bridged USDC (Katana)
gohome,gohome,GOHOME
status,snt,Status
gmx,gmx,GMX
altlayer,alt,AltLayer
proton,xpr,XPR Network
bio-protocol,bio,Bio Protocol
solayer-staked-sol,ssol,Solayer Staked SOL
noble-dollar-usdn,usdn,Noble Dollar (USDN)
magic-eden,me,Magic Eden
melania-meme,melania,Melania Meme
rocket-pool,rpl,Rocket Pool
skale,skl,SKALE
amnis-aptos,amapt,Amnis Aptos
crvusd,crvusd,crvUSD
sbtc-2,sbtc,sBTC
goatseus-maximus,goat,Goatseus Maximus
coti,coti,COTI
book-of-meme,bome,BOOK OF MEME
clearpool,cpool,Clearpool
coinshift-usdl-morpho-vault,csusdl,Coinshift USDL Morpho Vault
lorenzo-stbtc,stbtc,Lorenzo stBTC
yu,yu,YU
anzen-usdz,usdz,Anzen USDz
nano,xno,Nano
neiro-on-eth,neiro,Neiro on ETH
reallink,real,RealLink
alchemist-ai,alch,Alchemist AI
wrapped-zenbtc,zenbtc,Zenrock BTC
metaplex,mplx,Metaplex
vvs-finance,vvs,VVS Finance
velo,velo,Velo
ai-companions,aic,AI Companions
purr-2,purr,Purr
illuvium,ilv,Illuvium
spiko-us-t-bills-money-market-fund,ustbl,Spiko US T-Bills Money Market Fund
babylon,baby,Babylon
moonwell-artemis,well,Moonwell
bora,bora,BORA
tdccp,tdccp,TDCCP
terra-luna-2,luna,Terra
ozone-chain,ozo,Ozone Chain
lcx,lcx,LCX
centrifuge,cfg,Centrifuge [OLD]
hive,hive,Hive
liquity,lqty,Liquity
big-time,bigtime,Big Time
stp-network,awe,AWE Network
aave-usdc-sonic,asonusdc,Aave USDC (Sonic)
vicicoin,vcnt,ViciCoin
wrapped-fragsol,wfragsol,Wrapped fragSOL
metis-token,metis,Metis
cookie,cookie,Cookie DAO
apollo-diversified-credit-securitize-fund,acred,Apollo Diversified Credit Securitize Fund
waves,waves,Waves
subsquid,sqd,SQD
tellor,trb,Tellor Tributes
optimism-bridged-wbtc-optimism,wbtc,Optimism Bridged WBTC (Optimism)
verge,xvg,Verge
restaked-swell-eth,rsweth,Restaked Swell ETH
bitmart-token,bmx,BitMart
band-protocol,band,Band Protocol
venus,xvs,Venus
undeads-games,uds,Undeads Games
omni-network,omni,Omni Network
request-network,req,Request
constitutiondao,people,ConstitutionDAO
acet-token,act,Acet
the-grays-currency,ptgc,The Grays Currency
uma,uma,UMA
entangle,ntgl,Entangle
alchemy-pay,ach,Alchemy Pay
diamond-launch,dlc,Diverge Loop
lift-dollar,usdl,Lift Dollar
nkyc-token,nkyc,NKYC Token
anime,anime,Animecoin
verasity,vra,Verasity
delysium,agi,Delysium
osaka-protocol,osak,Osaka Protocol
onyc,onyc,Onchain Yield Coin
tradable-singapore-fintech-ssl-2,pc0000023,Tradable Singapore Fintech SSL
blast,blast,Blast
humanity,h,Humanity
qusdt,qusdt,QL1 Bridged USDT (QL1)
biconomy,bico,Biconomy
loopring,lrc,Loopring
degen-base,degen,Degen
iostoken,iost,IOST
onfa,oft,ONFA
swop-2,swop,Swop
nexusmind,nmd,NexusMind
project-galaxy,gal,GAL (migrated to Gravity - G)
aleo,aleo,ALEO
stratis,strax,Stratis
radix,xrd,Radix
cetus-protocol,cetus,Cetus Protocol
constellation-labs,dag,Constellation
usual,usual,Usual
power-ledger,powr,Powerledger
hivemapper,honey,Hivemapper
dola-usd,dola,DOLA
l2-standard-bridged-frxusd,frxusd,L2 Standard Bridged frxUSD
manta-network,manta,Manta Network
mori-coin,mori,MORI COIN
aevo-exchange,aevo,Aevo
g-token,g,Gravity (by Galxe)
pay-coin,pci,Paycoin
